State,City,Received,Approved,Denied,Pending,Category,Year,Quarter,Start_date,End_date
Alaska,Anchorage,97,135,14,341,Family,2018,3,2018-04-01,2018-06-30
Arizona,Phoenix,1391,667,89,6446,Family,2018,3,2018-04-01,2018-06-30
Arizona,Tucson,531,328,34,1395,Family,2018,3,2018-04-01,2018-06-30
Arkansas,Fort Smith,206,105,11,632,Family,2018,3,2018-04-01,2018-06-30
California,Chula Vista,0,0,0,0,Family,2018,3,2018-04-01,2018-06-30
California,Fresno,984,898,115,2841,Family,2018,3,2018-04-01,2018-06-30
California,Imperial,86,73,nan,215,Family,2018,3,2018-04-01,2018-06-30
California,Los Angeles,2278,1213,221,7833,Family,2018,3,2018-04-01,2018-06-30
California,Los Angeles County,2181,1025,347,8188,Family,2018,3,2018-04-01,2018-06-30
California,Sacramento,1070,887,98,3551,Family,2018,3,2018-04-01,2018-06-30
California,San Bernardino,1982,1830,296,5766,Family,2018,3,2018-04-01,2018-06-30
California,San Diego,1492,800,126,3809,Family,2018,3,2018-04-01,2018-06-30
California,San Fernando Valley,1534,799,120,6864,Family,2018,3,2018-04-01,2018-06-30
California,San Francisco,2244,959,113,10863,Family,2018,3,2018-04-01,2018-06-30
California,San Jose,1279,841,127,4156,Family,2018,3,2018-04-01,2018-06-30
California,Santa Ana,1629,1021,217,6804,Family,2018,3,2018-04-01,2018-06-30
Colorado,Denver,1158,1033,138,5180,Family,2018,3,2018-04-01,2018-06-30
Connecticut,Hartford,928,600,97,3748,Family,2018,3,2018-04-01,2018-06-30
Delaware,Dover,0,nan,0,0,Family,2018,3,2018-04-01,2018-06-30
District Of Columbia,Washington,1596,1428,162,6501,Family,2018,3,2018-04-01,2018-06-30
Florida,Hialeah,842,709,111,3349,Family,2018,3,2018-04-01,2018-06-30
Florida,Jacksonville,499,329,60,1487,Family,2018,3,2018-04-01,2018-06-30
Florida,Kendall,735,428,88,2728,Family,2018,3,2018-04-01,2018-06-30
Florida,Miami,1327,442,122,8466,Family,2018,3,2018-04-01,2018-06-30
Florida,Fort Myers,486,476,62,2184,Family,2018,3,2018-04-01,2018-06-30
Florida,Oakland Park,1879,714,192,9756,Family,2018,3,2018-04-01,2018-06-30
Florida,Orlando,1749,950,179,7485,Family,2018,3,2018-04-01,2018-06-30
Florida,Tampa,1300,959,163,3307,Family,2018,3,2018-04-01,2018-06-30
Florida,West Palm Beach,1366,1039,252,4901,Family,2018,3,2018-04-01,2018-06-30
Georgia,Atlanta,2368,1148,302,11652,Family,2018,3,2018-04-01,2018-06-30
Hawaii,Honolulu,292,428,48,1355,Family,2018,3,2018-04-01,2018-06-30
Idaho,Boise,187,453,20,559,Family,2018,3,2018-04-01,2018-06-30
Illinois,Chicago,3317,2075,353,13966,Family,2018,3,2018-04-01,2018-06-30
Indiana,Indianapolis,645,508,59,1821,Family,2018,3,2018-04-01,2018-06-30
Iowa,Des Moines,204,138,15,896,Family,2018,3,2018-04-01,2018-06-30
Kansas,Wichita,220,125,15,695,Family,2018,3,2018-04-01,2018-06-30
Kentucky,Louisville,287,206,52,970,Family,2018,3,2018-04-01,2018-06-30
Louisiana,New Orleans,506,258,47,2547,Family,2018,3,2018-04-01,2018-06-30
